#time,accel_x,accel_y,accel_z
825.564563,7829.315547,2105.683888,-7982.456194
825.567100,2775.674216,-3694.518094,-8843.872330
825.569638,-5034.498750,-153.140646,-8173.882002
825.572176,1607.976787,4862.215523,-8786.444587
825.574714,1895.115499,-3196.810994,-9399.007173
825.577252,-6029.912952,-1339.980656,-8154.739421
825.579790,5111.069074,344.566454,-8709.874264
825.582327,-1780.260014,-574.277424,-8729.016845
825.584865,-2392.822600,2813.959378,-9724.431046
825.587403,-4039.084549,1129.412267,-9954.142016
825.589954,1665.404530,1531.406464,-8327.022648
825.592504,4077.369710,-937.986459,-8748.159426
825.595055,-3847.658741,4115.654872,-8365.307810
825.597605,2009.970984,478.564520,-9858.429112
825.600156,1588.834206,-3637.090352,-9705.288466
825.602706,-2737.389054,4077.369710,-7637.889739
825.605257,8767.302006,-861.416136,-7886.743290
825.607807,3062.812928,-5321.637462,-9533.005238
825.610358,-8977.870395,4287.938099,-9590.432981
825.612908,899.701298,4728.217458,-9131.011042
